"","Species","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","Amia ocellicauda","(Intercept)",-11.3305130590083,0.466479360828374,-24.2894198767713,2.67594356149434e-59,-12.2508491021745,-10.4101770158421
"2","Amia ocellicauda","log(Total.Length)",2.94667601336835,0.0760097876609267,38.7670601911588,1.84124876528691e-90,2.7967132216737,3.09663880506299
"3","Amia ocellicauda","Year2024",-0.038633453784507,0.0313731670072001,-1.23141708249093,0.219738470937785,-0.100530846916164,0.0232639393471502
"4","Amia ocellicauda","CellWest",-0.0164076108506212,0.0296686542253275,-0.553028483395596,0.58091518325729,-0.0749421016099011,0.0421268799086587
"5","Amia ocellicauda","Year2024:CellWest",0.0387442747021063,0.0415377962948606,0.932747477191035,0.352172693318071,-0.0432073276495346,0.120695877053747
"6","Lepomis gibbosus","(Intercept)",-11.7594644631245,0.0435693173753449,-269.902426099954,0,-11.8449438377905,-11.6739850884584
"7","Lepomis gibbosus","log(Total.Length)",3.18727487643155,0.00979032599889316,325.553498095149,0,3.16806707161441,3.2064826812487
"8","Lepomis gibbosus","Year2024",0.0163880134697244,0.0138305267270819,1.18491607681395,0.236282154664169,-0.0107463289333929,0.0435223558728417
"9","Lepomis gibbosus","CellWest",0.00371190615612431,0.0113199035210933,0.327909698983531,0.743036389197868,-0.0184968024616136,0.0259206147738622
"10","Lepomis gibbosus","Year2024:CellWest",-0.0112727484091357,0.0195942192873845,-0.57530990358945,0.56518816096126,-0.0497149759364915,0.02716947911822
"11","Lepomis macrochirus","(Intercept)",-11.8254121838337,0.0592503139387155,-199.583958256578,0,-11.9418180030281,-11.7090063646393
"12","Lepomis macrochirus","log(Total.Length)",3.18913632057816,0.0144244630795562,221.092203085059,0,3.16079737467905,3.21747526647728
"13","Lepomis macrochirus","Year2024",0.0610705483758052,0.0267828880102113,2.2802077338531,0.0230088695923789,0.008451687614242,0.113689409137368
"14","Lepomis macrochirus","CellWest",0.0282242611534113,0.0236240085093855,1.19472786094698,0.232750869112676,-0.018188523528786,0.0746370458356087
"15","Lepomis macrochirus","Year2024:CellWest",-0.0424096634436886,0.0339401718449827,-1.24954180071301,0.212042366978853,-0.109090044433737,0.0242707175463593
"16","Micropterus nigricans","(Intercept)",-11.2005104655717,0.149254318315774,-75.0431249960556,1.50119135753385e-180,-11.4943856931351,-10.9066352380083
"17","Micropterus nigricans","log(Total.Length)",2.99914834323847,0.0332905513038608,90.0900773875334,8.68332208900865e-201,2.93360070313981,3.06469598333713
"18","Micropterus nigricans","Year2024",-0.110816234229965,0.0299380536270527,-3.7015176607817,0.00026067649150473,-0.169762952969729,-0.0518695154902021
"19","Micropterus nigricans","CellWest",-0.0578608339410436,0.0506821934569965,-1.14164028812482,0.254634114631777,-0.157651857099751,0.0419301892176638
"20","Micropterus nigricans","Year2024:CellWest",0.0730490701039463,0.0688665539323612,1.06073363531001,0.28977675762595,-0.0625461638346893,0.208644304042582
"21","Notemigonus crysoleucas","(Intercept)",-12.3593861902753,0.105211188337341,-117.472166084153,0,-12.5658787317295,-12.152893648821
"22","Notemigonus crysoleucas","log(Total.Length)",3.12213502297469,0.0260190894017442,119.994015730827,0,3.07106870596224,3.17320133998715
"23","Notemigonus crysoleucas","Year2024",0.0429638482082834,0.0145887306179278,2.94500250456923,0.00331408203374752,0.0143313034238983,0.0715963929926684
"24","Notemigonus crysoleucas","CellWest",0.0323473950756884,0.0177241417851116,1.82504718523863,0.0683308617016659,-0.00243885855513516,0.067133648706512
"25","Notemigonus crysoleucas","Year2024:CellWest",-0.0440875808772771,0.0286134246093111,-1.54080056753957,0.123722792405677,-0.100245665018877,0.0120705032643227
"26","Pomoxis nigromaculatus","(Intercept)",-12.1498040647231,0.308509313748368,-39.3822926027865,2.16179982563382e-102,-12.7577707083626,-11.5418374210836
"27","Pomoxis nigromaculatus","log(Total.Length)",3.21364448708511,0.0645043688897477,49.8205709535418,7.82623507015489e-123,3.08652837451947,3.34076059965075
"28","Pomoxis nigromaculatus","Year2024",-0.0161765256213868,0.0838225775665876,-0.192985304091089,0.847146124649603,-0.181362239223338,0.149009187980564
"29","Pomoxis nigromaculatus","CellWest",-0.19737497996197,0.0915919108615478,-2.15493899084959,0.0322379901658424,-0.377871399841354,-0.0168785600825854
"30","Pomoxis nigromaculatus","Year2024:CellWest",0.180871434486877,0.164547136794706,1.09920742475475,0.27286288089008,-0.143394855117487,0.505137724091241
